Rack Bar 09PL JGF02-000390,,,,,,,,,,,3.21.19,,,,,
,,,,,,,,,,,Revision —,,,,,
,,,,,,,,,,,,,,,,
Shift ,Customer,Line,Date ,Time,Rack End,Sample,Ball Screw Thread,,,,,,,,,
,,,,,,,Surface Hardness A,,Case Depth,Surface Hardness B,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,@0.1mm,@0.2mm,mm,@0.1mm,@0.2mm,,,,,
,,,,,,,650Hv - 800Hv,,0.8 - 2.0@450Hv,650Hv - 800Hv,,,,,,
,,,,,,,,,,,,,,,,
3,TMM,rp1,11/9/2017,1145pm,,,663,659,1.77,661,654,,,,,
1,TMM,rp1,11/9/2017,9am,,,656,651,1.74,667,661,,,,,
1,TMM,rp2,11/9/2017,10.45am,,,661,656,1.54,651,661,,,,,
3,TMM,rp1,11/10/2017,1145pm,,,658,654,1.73,679,676,,,,,
3,TMM,rp2,11/10/2017,202am,,,680,683,1.46,650,651,,,,,
1,TMM,rp2,11/10/2017,8.30am,,,651,655,1.53,660,655,,,,,
1,TMM,rp1,11/11/2017,9am,,,684,687,1.81,693,696,,,,,
1,TMM,rp2,11/11/2017,915am,,,673,670,1.63,673,665,,,,,
3,TMM,rp1,11/13/2017,1050pm,,,671,678,1.75,661,659,,,,,
3,TMM,rp2,11/13/2017,445am,,,670,673,1.65,676,676,,,,,
1,TMM,rp1,11/13/2017,12pm,,,667,658,1.76,660,669,,,,,
3,TMM,rp2,11/14/2017,1020pm,,,681,681,1.74,672,673,,,,,
3,TMM,rp1,11/14/2015,1200pm,,,681,675,1.78,676,672,,,,,
1,TMM,rp2,11/14/2017,915am,,,675,684,1.74,654,656,,,,,
3,TMM,rp2,11/15/2017,1029pm,,,651,645,1.59,653,648,,,,,
3,TMM,rp1,11/15/2017,1230pm,,,680,681,1.72,675,672,,,,,
1,TMM,rp1,11/15/2017,10am,,,651,672,1.78,653,656,,,,,
1,TMM,rp1,11/15/2017,3pm,,,659,661,1.81,656,659,,,,,
3,TMM,rp2,11/16/2017,1100pm,,,653,653,1.67,663,664,,,,,
3,TMM,rp1,11/16/2017,1245pm,,,683,683,1.75,686,678,,,,,
1,TMM,rp1,11/16/2017,830am,,,667,676,1.88,673,667,,,,,
1,TMM,rp2,11/16/2017,9am,,,651,667,1.54,656,673,,,,,
3,TMM,rp1,11/17/2017,1125pm,,,672,675,1.81,675,675,,,,,
3,TMM,rp2,11/17/2017,330am,,,671,675,1.67,670,675,,,,,
1,TMM,RP2,11/17/2017,8AM,,,655,658,1.67,655,656,,,,,
1,TMM,rp1,11/17/2017,10am,,,690,673,1.82,681,690,,,,,
3,TMM,rp1,11/18/2017,1130pm,,,685,683,1.85,667,670,,,,,
3,TMM,rp2,11/18/2017,110am,,,650,651,1.69,656,664,,,,,
1,TMM,rp2,11/18/2017,845am,,,654,654,1.62,654,654,,,,,
1,TMM,rp1,11/18/2017,9am,,,656,672,1.80,683,669,,,,,
3,TMM,rp2,11/20/2017,1228am,,,672,676,1.81,674,676,,,,,
3,TMM,rp1,11/20/2017,111am,,,681,684,1.82,687,690,,,,,
1,TMM,rp1,11/20/2017,815am,,,640,667,1.80,662,665,,,,,
1,TMM,rp2,11/20/2017,9am,,,667,667,1.69,665,673,,,,,
3,TMM,RP2,11/21/2017,1259AM,,,666,653,1.61,662,682,,,,,
3,TMM,RP1,11/21/2017,146AM,,,670,679,1.81,681,679,,,,,
1,TMM,rp2,11/21/2017,915am,,,659,673,1.67,667,656,,,,,
1,TMM,rp1,11/21/2017,945am,,,662,656,1.81,673,681,,,,,
3,TMM,rp1,11/22/2017,1:25am,,,684,681,1.85,683,679,,,,,
3,TMM,rp2,11/22/2017,1:35am,,,662,667,1.64,673,673,,,,,
